Exit Status,Has CPA,Years Experience,Current Salary + Bonus,Years Public Before Exit,Current Industry,What COL is your region?,Gender,Line of Service,Average Hours Per Week
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,56500.0,,Public Accounting,Medium,Male,Tax,43.0
I am currently working at a Big 4 accounting firm,No,1.0,56500.0,,Public Accounting,Medium,Male,Advisory,45.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,60000.0,,Public Accounting,High,Male,Audit,60.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,53000.0,,Public Accounting,Medium,Female,Tax,55.0
I am currently working at a mid-tier or local accounting firm,No,1.0,45000.0,,Public Accounting,High,Male,Tax,60.0
I have never worked at a public accounting firm,No,1.0,52000.0,,Other,Medium,Male,Other,50.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,54000.0,,Public Accounting,Medium,Male,Tax,48.0
I am currently working at a Big 4 accounting firm,Yes,1.0,69000.0,,Public Accounting,Medium,Female,Audit,40.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,62000.0,,Public Accounting,High,Male,Audit,50.0
I have never worked at a public accounting firm,Finishing Exp Req,1.0,70000.0,,Government,Medium,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,65000.0,,Public Accounting,High,Female,Tax,50.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,56000.0,,Public Accounting,Medium,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,65000.0,,Public Accounting,Medium,Male,Tax and Audit,50.0
I am currently working at a Big 4 accounting firm,No,1.0,60000.0,,Public Accounting,High,Male,Other,45.0
I am currently working at a Big 4 accounting firm,No,1.0,64000.0,,Public Accounting,High,Female,Audit,50.0
I am currently working at a Big 4 accounting firm,No,1.0,63000.0,,Public Accounting,High,Male,Audit,50.0
I am currently working at a Big 4 accounting firm,No,1.0,73000.0,,Public Accounting,High,Male,Advisory,45.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,60000.0,,Public Accounting,High,Male,Audit,40.0
I am currently working at a Big 4 accounting firm,No,1.0,52000.0,,Public Accounting,Low,Male,Audit,52.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,72000.0,,Public Accounting,Medium,Male,Advisory,50.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,52000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,59000.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,No,1.0,62000.0,,Energy,Medium,Male,Tax,40.0
I am currently working at a Big 4 accounting firm,No,1.0,57000.0,,Public Accounting,Medium,Male,Other,40.0
I am currently working at a Big 4 accounting firm,No,1.0,61500.0,,Public Accounting,High,Male,Advisory,50.0
I am currently working at a mid-tier or local accounting firm,No,1.0,63000.0,,Public Accounting,High,Female,Tax,60.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,55000.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,58000.0,,Public Accounting,Low,Female,Tax,40.0
I am currently working at a Big 4 accounting firm,Yes,1.0,69000.0,,Public Accounting,Medium,Female,Audit,40.0
I have already exited from a mid-tier or local accounting firm,No,1.0,53000.0,1.0,Government,Low,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,65000.0,,Public Accounting,High,Female,Advisory,50.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,59000.0,,Public Accounting,Medium,Female,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,60000.0,,Public Accounting,High,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,No,1.0,59000.0,,Public Accounting,Low,Undisclosed,Advisory,55.0
I am currently working at a mid-tier or local accounting firm,No,1.0,69000.0,,Public Accounting,High,Male,Tax,36.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,62500.0,,Public Accounting,Medium,Male,Other,40.0
I am currently working at a Big 4 accounting firm,No,1.0,60000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,1.0,55000.0,,Public Accounting,Low,Female,Other,40.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,58000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,No,1.0,37000.0,,Public Accounting,Medium,Female,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,65000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,No,1.0,60000.0,,Public Accounting,High,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,1.0,68000.0,,Public Accounting,High,Male,Audit,40.0
I am currently working at a Big 4 accounting firm,No,1.0,61000.0,,Public Accounting,High,Female,Audit,50.0
I have never worked at a public accounting firm,No,1.0,50000.0,,Manufacturing,Medium,Male,Other,50.0
I am currently working at a Big 4 accounting firm,No,1.0,65000.0,,Public Accounting,High,Male,Tax,50.0
I am currently working at a Big 4 accounting firm,No,1.0,54000.0,,Public Accounting,High,Undisclosed,Tax,55.0
I have never worked at a public accounting firm,No,1.0,68250.0,,Finance,High,Female,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,57500.0,,Public Accounting,Medium,Male,Audit,40.0
I have never worked at a public accounting firm,No,1.0,48000.0,,Construction,Medium,Male,Other,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,57000.0,,Public Accounting,High,Male,Audit,45.0
I have never worked at a public accounting firm,No,1.0,47500.0,,Other,Low,Female,Other,50.0
I am currently working at a Big 4 accounting firm,No,1.0,47500.0,,Public Accounting,Medium,Male,Audit,45.0
I have never worked at a public accounting firm,No,1.0,40000.0,,Agriculture/Food processing,Low,Male,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,52000.0,,Public Accounting,Medium,Female,Tax,40.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,55500.0,,Public Accounting,Medium,Male,Tax,45.0
I have already exited from a mid-tier or local accounting firm,No,1.0,57000.0,1.0,Construction,High,Male,Tax,55.0
I have never worked at a public accounting firm,No,1.0,50000.0,,Construction,Medium,Male,Other,40.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.0,56420.0,,Public Accounting,Medium,Male,Audit,40.0
I have never worked at a public accounting firm,No,1.0,46500.0,,Government,Medium,Male,Other,37.0
I have already exited from a mid-tier or local accounting firm,No,3.0,55000.0,3.0,Other,Low,Male,Tax,45.0
I am currently working at a Big 4 accounting firm,No,1.0,73000.0,,Public Accounting,High,Male,Advisory,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,62500.0,,Public Accounting,Medium,Male,Audit,43.0
I am currently working at a Big 4 accounting firm,No,1.0,52000.0,,Public Accounting,Medium,Male,Advisory,50.0
I am currently working at a mid-tier or local accounting firm,No,1.0,66000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,1.0,115000.0,,Public Accounting,High,Female,Advisory,50.0
I am currently working at a Big 4 accounting firm,No,1.0,57000.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,1.0,55000.0,,Public Accounting,High,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,60000.0,,Public Accounting,High,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,Yes,1.0,50000.0,,Public Accounting,Low,Female,Tax and Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,1.0,80000.0,,Public Accounting,High,Male,Tax,40.0
I am currently working at a mid-tier or local accounting firm,No,1.0,60000.0,,Public Accounting,Medium,Female,Tax,45.0
I am currently working at a Big 4 accounting firm,Finishing Exp Req,1.0,53000.0,,Public Accounting,Medium,Male,Audit,40.0
I am still in school,No,1.0,26000.0,,Other,High,Male,Advisory,30.0
I am currently working at a mid-tier or local accounting firm,No,1.0,54000.0,,Public Accounting,Low,Male,Audit,50.0
I have never worked at a public accounting firm,No,1.0,53000.0,,Government,Medium,Male,Finance,40.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.25,56000.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.5,62500.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,1.5,67000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.5,60000.0,,Public Accounting,High,Male,Audit,
I have never worked at a public accounting firm,No,1.5,59000.0,,Finance,Low,Male,Other,
I am currently working at a mid-tier or local accounting firm,Yes,1.5,73800.0,,Public Accounting,High,Female,Audit,
I am currently working at a mid-tier or local accounting firm,No,1.5,55500.0,,Public Accounting,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,No,1.5,80000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,No,1.5,52000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,No,1.5,58000.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,1.5,67000.0,,Public Accounting,Medium,Female,Tax,50.0
I am currently working at a mid-tier or local accounting firm,Yes,1.5,68000.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a Big 4 accounting firm,Yes,1.5,61000.0,,Public Accounting,Medium,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,1.5,63000.0,,Public Accounting,High,Female,Tax,50.0
I am currently working at a mid-tier or local accounting firm,No,1.5,56500.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,1.5,56500.0,,Public Accounting,Medium,Male,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,1.5,55000.0,,Public Accounting,Low,Female,Tax and Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,1.5,64000.0,,Public Accounting,High,Female,Audit,50.0
I am currently working at a mid-tier or local accounting firm,Yes,1.5,76000.0,,Public Accounting,Medium,Male,Tax,45.0
I am currently working at a mid-tier or local accounting firm,No,1.5,52500.0,,Public Accounting,Low,Female,Audit,40.0
I am currently working at a Big 4 accounting firm,No,1.5,60000.0,,Public Accounting,Medium,Male,Audit,40.0
I am currently working at a Big 4 accounting firm,Yes,1.5,64000.0,,Public Accounting,Medium,Female,Audit,50.0
I am currently working at a mid-tier or local accounting firm,No,1.5,73000.0,,Public Accounting,High,Female,Tax,42.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,1.5,59000.0,,Public Accounting,High,Male,Audit,45.0
I am currently working at a mid-tier or local accounting firm,Yes,1.5,77000.0,,Public Accounting,High,Male,Tax,40.0
I am currently working at a Big 4 accounting firm,Yes,1.9,62300.0,,Public Accounting,High,Male,Audit,42.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,2.0,50000.0,,Public Accounting,Medium,Undisclosed,Tax,
I am currently working at a mid-tier or local accounting firm,No,2.0,57000.0,,Public Accounting,High,Male,Tax,
I have already exited from a Big 4 Accounting firm,Yes,2.0,70000.0,1.5,Transportation,Low,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,58000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,2.0,54000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,87000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,2.0,87000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,2.0,61000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,40000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,2.0,56808.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,55000.0,,Public Accounting,Medium,Male,Tax,
I have never worked at a public accounting firm,Finishing Exp Req,2.0,75000.0,,Technology,High,Male,Other,
I am currently working at a mid-tier or local accounting firm,No,2.0,80099.0,,Public Accounting,High,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,75000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,67500.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Finishing Exp Req,2.0,77000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a Big 4 accounting firm,No,2.0,68000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,60000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,63000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,65000.0,,Public Accounting,High,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,66000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,2.0,62000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,64000.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,2.0,62000.0,,Public Accounting,Medium,Male,Other,
I have already exited from a Big 4 Accounting firm,Yes,1.0,75000.0,1.0,Finance,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,No,2.0,59000.0,,Public Accounting,Medium,Male,Audit,
I have never worked at a public accounting firm,Finishing Exp Req,2.0,82000.0,,Manufacturing,High,Male,Other,
I am currently working at a Big 4 accounting firm,Yes,2.0,65000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,64890.0,,Public Accounting,High,Male,Audit,
I have already exited from a Big 4 Accounting firm,Finishing Exp Req,1.0,59000.0,1.0,Manufacturing,Medium,Male,Audit,40.0
I am currently working at a mid-tier or local accounting firm,Finishing Exp Req,2.0,65000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,54000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,85000.0,,Public Accounting,High,Male,Tax,
I am currently working at a Big 4 accounting firm,No,2.0,74100.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,Yes,2.0,56000.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,72900.0,,Public Accounting,High,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,56000.0,,Public Accounting,Low,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,68500.0,,Public Accounting,Medium,Female,Tax,
I am currently working at a Big 4 accounting firm,Yes,2.0,53600.0,,Public Accounting,Low,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,56420.0,,Public Accounting,Medium,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,67000.0,,Public Accounting,High,Female,Tax,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,56000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,2.0,40000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a mid-tier or local accounting firm,No,2.0,82000.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,2.0,56000.0,,Government,Medium,Female,Other,
I am currently working at a mid-tier or local accounting firm,No,2.0,71200.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,48000.0,,Public Accounting,Medium,Male,Tax,
I am currently working at a Big 4 accounting firm,No,2.0,60000.0,,Public Accounting,High,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,80000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,67500.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,102000.0,,Public Accounting,High,Male,Tax,
I have never worked at a public accounting firm,No,2.0,52000.0,,Hospitality,High,Male,Corporate,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,60000.0,,Public Accounting,Medium,Female,Audit,
I am currently working at a mid-tier or local accounting firm,Yes,2.0,60000.0,,Public Accounting,Medium,Male,Other,
I am currently working at a Big 4 accounting firm,Yes,2.0,73500.0,,Public Accounting,High,Male,Audit,
I have never worked at a public accounting firm,No,2.0,65000.0,,Government,Low,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,60000.0,,Public Accounting,Low,Male,Audit,
I have already exited from a Big 4 Accounting firm,Yes,2.0,73000.0,2.0,Technology,Low,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,67500.0,,Public Accounting,High,Female,Advisory,
I am currently working at a mid-tier or local accounting firm,No,2.0,88000.0,,Public Accounting,High,Male,Advisory,
I am currently working at a Big 4 accounting firm,Yes,2.0,80000.0,,Public Accounting,High,Male,Audit,
I have already exited from a Big 4 Accounting firm,No,2.0,88000.0,1.5,Finance,Medium,Male,Advisory,
I have already exited from a Big 4 Accounting firm,Yes,2.0,80000.0,1.5,Other,Low,Male,Audit,
I am currently working at a Big 4 accounting firm,Yes,2.0,61000.0,,Public Accounting,High,Male,Audit,
I am currently working at a mid-tier or local accounting firm,No,2.0,78000.0,,Public Accounting,High,Male,Advisory,
I have never worked at a public accounting firm,No,2.0,59500.0,,Technology,High,Male,Other,
