Timestamp,Firm exit status,Do you have your CPA license?,How many years of experience in accounting do you have? (If none please skip),What is your current salary + bonus in USD? (Example Format: 50000) (If none please skip),"If you have exited a public accounting firm, how many years did you work in public accounting before exiting? (Please skip if this doesn't apply to you)",What industry do you work in?,What COL is your region?,Where do you live?,Gender,What is your line of service? (Or was in the case of those who have exited),How many hours do you currently work per week on average? 
7/28/2020 22:23:40,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,"$57,000",,Public Accounting,Medium,United States,Female,Tax,
7/28/2020 22:44:56,I am currently working at a Big 4 accounting firm,No,1,61000,,Public Accounting,High,United States,Female,Audit,
7/28/2020 22:49:16,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,53000,,Public Accounting,Medium,United States,Male,Audit,
7/28/2020 22:59:13,I have never worked at a public accounting firm,No,1,,,Finance,Medium,United States,Male,,
7/28/2020 23:20:27,I am currently working at a Big 4 accounting firm,No,1,45000,,Public Accounting,Medium,Canada,Male,Audit,
7/28/2020 23:24:24,I have never worked at a public accounting firm,No,1,72000,,Manufacturing,Medium,United States,Male,FLDP,
7/28/2020 23:27:33,I am currently working at a mid-tier or local accounting firm,No,1,"62,000",,Public Accounting,High,United States,Male,Tax,
7/28/2020 23:34:41,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,73000,,Public Accounting,High,United States,Male,Tax,
7/28/2020 23:58:02,I have never worked at a public accounting firm,No,1,"53,000",,Government,Medium,United States,Male,Audit,
7/29/2020 0:00:46,I have never worked at a public accounting firm,No,1,70000,,Construction,High,United States,Male,,
7/29/2020 0:13:16,I am currently working at a mid-tier or local accounting firm,No,1,"$33,600",,Public Accounting,High,United States,Male,Tax,
7/29/2020 0:16:57,I am currently working at a Big 4 accounting firm,No,1,56500,,Public Accounting,Medium,United States,Male,Risk Assurance (Maps to Audit at my B4),
7/29/2020 0:19:05,I am currently working at a mid-tier or local accounting firm,No,1,66000,,Public Accounting,High,United States,Male,Tax,
7/29/2020 0:26:35,I am currently working at a Big 4 accounting firm,No,1,"50,000",,Public Accounting,High,Canada,Male,Audit,
7/29/2020 1:14:44,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,64000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 2:22:26,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,43000,,Public Accounting,Medium,Canada,Male,Audit,
7/29/2020 3:17:53,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,71500,,,High,United States,Male,Advisory - Transaction Services/Financial Due Diligence/Corporate Finance/Restructuring,
7/29/2020 6:16:40,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,54000,,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 6:34:23,I have already exited from a Big 4 Accounting firm,No,1,70000,1,Other,High,United States,Male,Advisory - Risk/IT Advisory,
7/29/2020 7:31:47,I am currently working at a Big 4 accounting firm,No,1,$50k,,Public Accounting,High,EU,Female,Audit,
7/29/2020 7:34:54,I have never worked at a public accounting firm,No,1,60000,,Manufacturing,Medium,United States,Male,Audit,
7/29/2020 7:54:10,I am currently working at a Big 4 accounting firm,No,1,52000,,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 7:55:16,I am currently working at a Big 4 accounting firm,No,1,52000,,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 7:55:41,I am currently working at a Big 4 accounting firm,No,1,61000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 8:04:30,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,"55,000",,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 8:41:31,I am currently working at a Big 4 accounting firm,No,1,54000,,Public Accounting,Medium,United States,Male,Tax,
7/29/2020 9:05:20,I am currently working at a mid-tier or local accounting firm,No,1,64000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 9:12:03,I am still in school,No,1,,,Public Accounting,Medium,United States,Male,Tax,
7/29/2020 10:00:13,I have never worked at a public accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,55000,,Government,Medium,United States,Male,Government,
7/29/2020 10:22:15,I am currently working at a Big 4 accounting firm,No,1,"54,000",,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 10:56:56,I am currently working at a mid-tier or local accounting firm,No,1,41000,,Public Accounting,Medium,Canada,Male,,
7/29/2020 10:57:31,I am currently working at a Big 4 accounting firm,No,1,63000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 12:11:40,I am currently working at a Big 4 accounting firm,No,1,63000,,Public Accounting,High,United States,Female,Tax,
7/29/2020 14:59:33,I am currently working at a mid-tier or local accounting firm,No,1,63000,,Public Accounting,,United States,,Audit,
7/29/2020 15:39:32,I have never worked at a public accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,,,,,,,,
7/29/2020 16:04:44,I am currently working at a Big 4 accounting firm,No,1,£27k,,Public Accounting,High,EU,Male,Audit,
7/29/2020 16:13:27,I am currently working at a mid-tier or local accounting firm,No,1,"£17,500",,Public Accounting,Low,EU,Male,Audit,
7/29/2020 16:47:29,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,52000,,Public Accounting,Low,United States,Male,Audit,
7/29/2020 19:35:06,I am currently working at a mid-tier or local accounting firm,No,1,70000,,Public Accounting,High,United States,Male,Tax,
7/29/2020 19:42:21,I am currently working at a Big 4 accounting firm,No,1,63000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 21:37:41,I am currently working at a Big 4 accounting firm,Yes,1,63130,,Public Accounting,High,United States,Male,Audit,
7/29/2020 21:44:32,I am currently working at a Big 4 accounting firm,No,1,60000,,Public Accounting,Medium,United States,Male,-Advisory - Deal Advisory,
7/29/2020 21:45:13,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,60000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 22:00:51,I am currently working at a mid-tier or local accounting firm,No,1,,,Public Accounting,High,United States,Male,Audit,
7/29/2020 22:15:46,I am currently working at a Big 4 accounting firm,No,1,36000,,Public Accounting,High,Canada,Female,Audit,
7/29/2020 22:16:37,I am currently working at a Big 4 accounting firm,Yes,1,52000,,Public Accounting,Low,United States,Male,Tax,
7/29/2020 22:46:53,I am currently working at a mid-tier or local accounting firm,No,1,65000,,Public Accounting,High,United States,Male,Tax,
7/29/2020 23:10:35,I am currently working at a Big 4 accounting firm,No,1,57000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 23:21:26,I am currently working at a mid-tier or local accounting firm,Yes,1,60000,,Public Accounting,High,United States,Male,Audit,
7/29/2020 23:24:09,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,62000,,Public Accounting,Medium,United States,Male,Audit,
7/29/2020 23:30:10,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,57000,,Public Accounting,Medium,United States,,Tax,
7/29/2020 23:47:38,I am currently working at a Big 4 accounting firm,No,1,59000,,Public Accounting,,United States,Male,Audit,
7/29/2020 23:48:52,I am currently working at a Big 4 accounting firm,No,1,60000,,Public Accounting,,United States,Male,Audit,
7/29/2020 23:48:57,I am currently working at a mid-tier or local accounting firm,No,1,56000,1,Public Accounting,Medium,United States,Female,Tax,
7/29/2020 23:56:09,I have never worked at a public accounting firm,No,1,55680.5,,Government,Medium,United States,Prefer not to say,Financial Analyst,
7/29/2020 23:59:38,I am currently working at a Big 4 accounting firm,No,1,54500,,Public Accounting,Medium,United States,Female,Audit,
7/30/2020 1:51:32,I am currently working at a mid-tier or local accounting firm,No,1,55500,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 2:37:04,I am currently working at a Big 4 accounting firm,No,1,60000,,Public Accounting,High,United States,Female,Tax,
7/30/2020 3:13:14,I have never worked at a public accounting firm,No,1,45000,,Government,High,United States,Male,,
7/30/2020 3:33:12,I have never worked at a public accounting firm,No,1,47000,,Government,Medium,United States,Male,Audit,
7/30/2020 4:04:15,I am currently working at a mid-tier or local accounting firm,No,1,55000,,Other,High,Australia/New Zealand,Male,Audit,
7/30/2020 4:25:29,I have never worked at a public accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,46393,,Natural Resource Extraction,Medium,Australia/New Zealand,Female,Management Accounting,
7/30/2020 6:39:28,I am currently working at a mid-tier or local accounting firm,No,1,59000,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 7:10:25,I have never worked at a public accounting firm,No,1,55000,,Government,Low,United States,Male,Audit,
7/30/2020 7:20:57,I have never worked at a public accounting firm,No,1,55000,,Medical,Medium,United States,Male,,
7/30/2020 7:35:38,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,51000,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 7:44:05,I am currently working at a mid-tier or local accounting firm,No,1,63000,,Public Accounting,Low,United States,Male,Tax,
7/30/2020 7:55:45,I am currently working at a Big 4 accounting firm,Yes,1,55000,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 8:04:07,I am currently working at a mid-tier or local accounting firm,No,1,66000,,Public Accounting,,United States,Female,Tax,
7/30/2020 8:48:07,I have already exited from a mid-tier or local accounting firm,No,1,48000,0.5,Other,Medium,United States,Male,Tax,
7/30/2020 9:08:08,I am currently working at a Big 4 accounting firm,No,1,60000,,Public Accounting,Medium,United States,Male,Audit,
7/30/2020 9:17:36,I am still in school,No,1,35000,,Public Accounting,High,United States,Female,Tax,
7/30/2020 9:27:49,I am currently working at a Big 4 accounting firm,Yes,1,55000,,Public Accounting,Medium,United States,Male,Tax,
7/30/2020 10:31:54,I am currently working at a Big 4 accounting firm,No,1,63000,,Public Accounting,High,United States,Male,Tax,
7/30/2020 12:19:44,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,55500,,Public Accounting,Low,United States,Female,Tax,
7/30/2020 13:17:43,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,66000,,Public Accounting,Medium,United States,Male,Audit focus with some tax work,
7/30/2020 14:42:07,I am currently working at a mid-tier or local accounting firm,No,1,64000,,Public Accounting,High,United States,Male,Audit,23
7/30/2020 15:20:40,I am currently working at a Big 4 accounting firm,No,1,61000,,Public Accounting,High,United States,Female,Audit,40
7/30/2020 15:42:18,I have already exited from a Big 4 Accounting firm,No,1,60000,1,Finance,Medium,United States,Male,Audit,45
7/30/2020 17:31:24,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,66200,,Public Accounting,High,United States,Male,Tax,50
7/30/2020 20:12:18,I am currently working at a mid-tier or local accounting firm,No,1,40000,,Technology,Medium,United States,Male,Payroll,42
7/30/2020 23:01:53,I am currently working at a mid-tier or local accounting firm,No,1,49000,,Public Accounting,Low,United States,Male,Audit,55
7/30/2020 23:02:49,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,79000,,Finance,High,United States,Male,Advisory - Risk/IT Advisory,45
7/30/2020 23:10:41,I have never worked at a public accounting firm,No,1,54912,,Finance,Medium,United States,Male,Industry,41
7/30/2020 23:34:01,I am currently working at a Big 4 accounting firm,No,1,40211,,Other,High,Canada,Male,Audit,40
7/31/2020 0:19:13,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,56500,,Public Accounting,Medium,United States,Male,Tax,43
7/31/2020 0:30:40,I am currently working at a Big 4 accounting firm,No,1,56500,,Public Accounting,Medium,United States,Male,Advisory - Risk/IT Advisory,45
7/31/2020 8:45:10,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,60000,,Public Accounting,High,United States,Male,Audit,60
7/31/2020 9:32:01,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,53000,,Public Accounting,Medium,United States,Female,Tax,55
7/31/2020 9:42:40,I am currently working at a mid-tier or local accounting firm,No,1,45000,,Public Accounting,High,United States,Male,Tax,60
7/31/2020 9:56:52,I have never worked at a public accounting firm,No,1,52000,,Other,Medium,United States,Male,,50
7/31/2020 14:33:38,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,54000,,Public Accounting,Medium,United States,Male,Tax,48
7/31/2020 18:03:19,I am currently working at a mid-tier or local accounting firm,No,1,33000,,Public Accounting,High,EU,Male,Audit,40
7/31/2020 20:29:34,I am currently working at a Big 4 accounting firm,Yes,1,69000,,Public Accounting,Medium,United States,Female,Audit,40
7/31/2020 21:04:49,I am currently working at a Big 4 accounting firm,No,1,41000,,Public Accounting,High,Canada,Male,Audit,47
7/31/2020 23:46:17,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,62000,,Public Accounting,High,United States,Male,Audit,50
7/31/2020 23:55:58,I have never worked at a public accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,70000,,Government,Medium,United States,Male,Tax,40
8/1/2020 2:14:02,I am currently working at a mid-tier or local accounting firm,No,1,65000,,Public Accounting,High,United States,Female,Tax,50
8/1/2020 2:50:28,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,56000,,Public Accounting,Medium,United States,Male,Tax,40
8/1/2020 9:32:15,I am currently working at a mid-tier or local accounting firm,No,1,65000,,Public Accounting,Medium,United States,Male,Audit & tax,50
8/1/2020 18:48:47,I am currently working at a Big 4 accounting firm,No,1,60000,,Finance,High,United States,Male,Assurance - Investment Performance,45
8/1/2020 19:58:03,I am currently working at a Big 4 accounting firm,No,1,64000,,Technology,High,United States,Female,Audit,50
8/1/2020 21:27:42,I am currently working at a Big 4 accounting firm,No,1,63000,,Public Accounting,High,United States,Male,Audit,50
8/2/2020 10:23:47,I am currently working at a Big 4 accounting firm,No,1,73000,,Finance,High,United States,Male,Advisory - Risk/IT Advisory,45
8/2/2020 16:50:59,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,60000,,Public Accounting,High,United States,Male,Audit,40
8/2/2020 20:09:49,I am currently working at a Big 4 accounting firm,No,1,52000,,Public Accounting,Low,United States,Male,Audit,52
8/2/2020 23:49:23,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,72000,,Public Accounting,Medium,United States,Male,Advisory - Transaction Services/Financial Due Diligence/Corporate Finance/Restructuring,50
8/3/2020 11:33:59,I have never worked at a public accounting firm,No,1,48000,,Other,High,EU,Male,,40
8/3/2020 12:54:09,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,52000,,Public Accounting,Medium,United States,Male,Tax,45
8/3/2020 13:30:16,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,59000,,Public Accounting,Medium,United States,Male,Audit,45
8/3/2020 13:58:14,I am currently working at a Big 4 accounting firm,No,1,46300,,Public Accounting,High,Canada,Male,Audit,50
8/3/2020 19:19:40,I have never worked at a public accounting firm,No,1,62000,,Energy,Medium,United States,Male,Tax,40
8/3/2020 19:35:35,I am currently working at a Big 4 accounting firm,No,1,57000,,Medical,Medium,United States,Male,Transfer Pricing,40
8/3/2020 21:19:11,I am currently working at a Big 4 accounting firm,No,1,61500,,Public Accounting,High,United States,Male,Advisory - Risk/IT Advisory,50
8/3/2020 21:27:59,I am currently working at a mid-tier or local accounting firm,No,1,63000,,Public Accounting,High,United States,Female,Tax,60
8/3/2020 22:56:16,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,55000,,Public Accounting,Medium,United States,Male,Audit,50
8/4/2020 6:17:05,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,58000,,Public Accounting,Low,United States,Female,Tax,40
8/4/2020 10:31:06,I am currently working at a Big 4 accounting firm,Yes,1,69000,,Public Accounting,Medium,United States,Female,Audit,40
8/4/2020 20:19:25,I have already exited from a mid-tier or local accounting firm,No,1,53000,1,Government,Low,United States,Male,Audit,40
8/4/2020 20:54:09,I am currently working at a mid-tier or local accounting firm,No,1,65000,,Public Accounting,High,United States,Female,Advisory - Risk/IT Advisory,50
8/5/2020 9:42:52,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,59000,,Public Accounting,Medium,United States,Female,Audit,45
8/5/2020 12:43:22,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,60000,,Public Accounting,High,United States,Male,Tax,45
8/5/2020 13:14:22,I am currently working at a Big 4 accounting firm,No,1,59000,,Public Accounting,Low,United States,Other,Advisory - Other,55
8/5/2020 13:48:30,I am currently working at a mid-tier or local accounting firm,No,1,69000,,Finance,High,United States,Male,Tax,36
8/5/2020 15:30:21,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,62500,,Public Accounting,Medium,United States,Male,Examinations and some Audit,40
8/5/2020 15:42:02,I am currently working at a Big 4 accounting firm,No,1,60000,,Public Accounting,High,United States,Male,Audit,45
8/5/2020 15:45:15,I am currently working at a mid-tier or local accounting firm,No,1,55000,,Public Accounting,Low,United States,Female,Tax/GL accounting,40
8/5/2020 18:08:18,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,58000,,Public Accounting,High,United States,Male,Audit,45
8/5/2020 18:48:04,I am currently working at a mid-tier or local accounting firm,No,1,37000,,Public Accounting,Medium,United States,Female,Tax,40
8/5/2020 19:39:01,I am currently working at a mid-tier or local accounting firm,No,1,65000,,Public Accounting,,United States,Male,Tax,45
8/5/2020 21:28:47,I have never worked at a public accounting firm,No,1,37500,0,Manufacturing,Low,Canada,Male,General accounting,40
8/6/2020 0:12:26,I am currently working at a Big 4 accounting firm,No,1,60000,,Public Accounting,High,United States,Male,Audit,50
8/6/2020 12:10:29,I am currently working at a mid-tier or local accounting firm,Yes,1,68000,,Public Accounting,High,United States,Male,Audit,40
8/6/2020 12:24:50,I am currently working at a Big 4 accounting firm,No,1,61000,,Public Accounting,High,United States,Female,Audit,50
8/6/2020 14:30:23,I am currently working at a Big 4 accounting firm,No,1,6000,,Public Accounting,High,Turkey,Male,Advisory - Risk/IT Advisory,40
8/6/2020 16:19:40,I have never worked at a public accounting firm,No,1,50000,,Manufacturing,Medium,United States,Male,Controller,50
8/6/2020 17:50:04,I am currently working at a Big 4 accounting firm,,1,65000,,Public Accounting,High,United States,Male,Tax,50
8/6/2020 19:01:10,I am currently working at a Big 4 accounting firm,No,1,54000,,Public Accounting,High,United States,Other,Tax,55
8/6/2020 20:58:43,I have never worked at a public accounting firm,No,1,68250,,Finance,High,United States,Female,Advisory - Risk/IT Advisory,40
8/6/2020 21:17:32,I am currently working at a mid-tier or local accounting firm,No,1,57500,,Public Accounting,Medium,United States,Male,Audit,40
8/6/2020 21:59:00,I have never worked at a public accounting firm,No,1,48000,,Construction,Medium,United States,Male,Staff,40
8/6/2020 22:06:35,I am currently working at a mid-tier or local accounting firm,No,1,57000,,Public Accounting,High,United States,Male,Audit,45
8/6/2020 23:21:30,I have never worked at a public accounting firm,No,1,47500,,Other,Low,United States,Female,Staff accountant,50
8/6/2020 23:57:34,I am currently working at a Big 4 accounting firm,No,1,47500,,Public Accounting,Medium,United States,Male,Audit,45
8/7/2020 4:19:38,I have never worked at a public accounting firm,No,1,40000,,Agriculture/Food processing,Low,United States,Male,Advisory - Transaction Services/Financial Due Diligence/Corporate Finance/Restructuring,40
8/7/2020 8:25:11,I am currently working at a mid-tier or local accounting firm,No,1,52000,,Public Accounting,Medium,United States,Female,Tax,40
8/7/2020 11:06:12,I am currently working at a Big 4 accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,55500,,Public Accounting,Medium,United States,Male,Tax,45
8/7/2020 12:03:02,I have already exited from a mid-tier or local accounting firm,No,1,57000,1,Construction,High,United States,Male,Tax,55
8/7/2020 12:11:14,I have never worked at a public accounting firm,No,1,50000,,Construction,Medium,United States,Male,,40
8/7/2020 14:10:10,I am currently working at a mid-tier or local accounting firm,I've passed all my CPA exams but I'm still completing the experience requirement,1,56420,,Public Accounting,Medium,United States,Male,Audit,40
8/7/2020 16:14:47,I have never worked at a public accounting firm,No,1,46500,,Government,Medium,United States,Male,,37
8/7/2020 16:55:01,I have already exited from a mid-tier or local accounting firm,No,1,55000,,Public Accounting,Low,United States,Male,Tax,45
8/7/2020 22:53:29,I am currently working at a Big 4 accounting firm,No,1,33619,,Public Accounting,Medium,Canada,Female,Audit,45
8/7/2020 23:24:52,I am currently working at a Big 4 accounting firm,No,1,73000,,Public Accounting,High,United States,Male,-Advisory - Deal Advisory,40
8/7/2020 23:28:37,I am currently working at a mid-tier or local accounting firm,No,1,62500,,Public Accounting,Medium,United States,Male,Audit,43
8/8/2020 10:01:10,I am currently working at a Big 4 accounting firm,No,1,30000,,Public Accounting,High,Canada,Female,Audit,43
8/8/2020 21:15:50,I am currently working at a Big 4 accounting firm,No,1,52000,,Public Accounting,Medium,United States,Male,Advisory - Risk/IT Advisory,50
8/8/2020 23:42:41,I am currently working at a mid-tier or local accounting firm,No,1,66000,,Public Accounting,High,United States,Male,Audit,45
8/9/2020 13:18:33,I am currently working at a mid-tier or local accounting firm,No,1,35000,,Public Accounting,Medium,Canada,Prefer not to say,Tax,37
8/9/2020 20:19:57,I am currently working at a Big 4 accounting firm,Yes,1,115000,,Other,High,United States,Female,Advisory - Other,50
8/10/2020 0:00:21,I am currently working at a Big 4 accounting firm,No,1,57000,,Public Accounting,Medium,United States,Male,Audit,50
8/10/2020 1:01:14,I am currently working at a mid-tier or local accounting firm,No,1,55000,,Public Accounting,High,United States,Male,Tax,40
8/10/2020 8:08:58,I am currently working at a mid-tier or local accounting firm,No,1,9000,,Public Accounting,Low,EU,Male,Bookkeeping,40
8/10/2020 8:57:03,I am currently working at a mid-tier or local accounting firm,No,1,60000,,Public Accounting,High,United States,Male,Tax,40
8/10/2020 18:11:50,I am currently working at a Big 4 accounting firm,No,1,37259,,Public Accounting,High,United Kingdom,Male,Audit,40
